StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Toestemming,Q1,Q2,Q3,Q3_10_TEXT,Q4_1,Q4_2,Q6,Q21,Q5_1,Q5_2,Q5_3,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13_1,Q13_2,Q13_3,Q13_4,Random
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Beste deelnemer,

 

Dit onderzoek gaat over jouw voorkeuren over reizen in het algemeen. De KlimaatHelpdesk, een website, heeft een artikel geschreven over de impact van reizen op het milieu. Door middel van dit onderzoek proberen wij de website ""de KlimaatHelpdesk"" te optimaliseren. In deze brief geven wij je informatie over het onderzoek en aan het einde vragen we of je aan het onderzoek wilt meedoen.

Wat ga jij doen in het onderzoek?

Om mee te doen aan dit onderzoek lees je eerst een korte tekst en vul je daarna de vragenlijst in. Je antwoorden op de vragenlijst zullen worden bewaard. Je deelname is vertrouwelijk en vrijwillig. Jouw identiteit en de onderzoeksgegevens bewaren we altijd gescheiden en alleen de hoofdonderzoeker heeft de sleutel om ze aan elkaar te koppelen. De gegevens worden geanonimiseerd zodat ze op geen enkele wijze op jou terug te leiden zijn. Ze worden gebruikt in een (wetenschappelijke) publicatie over het onderzoek. Je neemt geheel vrijblijvend aan dit onderzoek deel. Je kunt op elk moment je deelname beëindigen, door te stoppen met het invullen van de vragenlijst. Als je zorgen hebt over de manier waarop met privacy wordt omgegaan, kun je dit melden via privacy@uu.nl.

Toestemming

Als je wilt deelnemen, klik je hieronder op akkoord. Mocht je nu of achteraf vragen hebben over dit onderzoek dan kun je contact opnemen met Anna Leerink, a.leerink@uu.nl

 

Met vriendelijke groeten,

Anna Leerink Universiteit

Utrecht

E-mail a.leerink@uu.nl

 

P.S.: This survey contains credits to get free survey responses at SurveySwap.io

 

Ik verklaar hierbij dat ik bovenstaande informatie heb gelezen en geef de onderzoekers toestemming om de resultaten op anonieme wijze te bewaren, verwerken en rapporteren.",Wat is je geboortejaar?,Ik ben,Wat is je laatst voltooide opleiding? - Selected Choice,Wat is je laatst voltooide opleiding? - Anders: - Text,Stel je gaat volgende week op vakantie naar Milaan. Hoe waarschijnlijk is het dat je dan reist met ... - het vliegtuig,Stel je gaat volgende week op vakantie naar Milaan. Hoe waarschijnlijk is het dat je dan reist met ... - de trein,Hoe vaak ben je het afgelopen jaar op vakantie gegaan?,Hoe veel van die vakanties waren met het vliegtuig?,Lees de zin en kies het antwoord dat het beste bij jou past. - Ik vind het belangrijk om na te denken over de impact van mijn reis op het klimaat,Lees de zin en kies het antwoord dat het beste bij jou past. - De impact van reizen op het klimaat is een onderwerp waar ik meer over zou willen weten.,Lees de zin en kies het antwoord dat het beste bij jou past. - De impact van reizen op het klimaat is een belangrijk onderwerp.,"We willen graag weten wat jij van wetenschap en onderzoek weet en hoe je er over denkt. We hebben het dan over wetenschap in de brede zin. Vragen stellen, nieuwsgierig zijn, oplossingen zoeken, experimenteren en nieuwe dingen ontdekken horen bij onderzoek doen. Wetenschap kan bijvoorbeeld te maken hebben met de natuur, de ruimte, mensen, taal en het klimaat.

 

Lees de zin en kies het antwoord dat het beste bij jou past. - Ik ben in het algemeen op de hoogte over wetenschappelijke ontwikkelingen","We willen graag weten wat jij van wetenschap en onderzoek weet en hoe je er over denkt. We hebben het dan over wetenschap in de brede zin. Vragen stellen, nieuwsgierig zijn, oplossingen zoeken, experimenteren en nieuwe dingen ontdekken horen bij onderzoek doen. Wetenschap kan bijvoorbeeld te maken hebben met de natuur, de ruimte, mensen, taal en het klimaat.

 

Lees de zin en kies het antwoord dat het beste bij jou past. - Ik heb interesse in de inzichten en methodes uit de wetenschap.","We willen graag weten wat jij van wetenschap en onderzoek weet en hoe je er over denkt. We hebben het dan over wetenschap in de brede zin. Vragen stellen, nieuwsgierig zijn, oplossingen zoeken, experimenteren en nieuwe dingen ontdekken horen bij onderzoek doen. Wetenschap kan bijvoorbeeld te maken hebben met de natuur, de ruimte, mensen, taal en het klimaat.

 

Lees de zin en kies het antwoord dat het beste bij jou past. - Ik doe soms dingen waarbij ik iets kan leren over wetenschap, zoals een museum bezoeken, informatie op internet opzoeken, televisie of video’s kijken over wetenschap.","We willen graag weten wat jij van wetenschap en onderzoek weet en hoe je er over denkt. We hebben het dan over wetenschap in de brede zin. Vragen stellen, nieuwsgierig zijn, oplossingen zoeken, experimenteren en nieuwe dingen ontdekken horen bij onderzoek doen. Wetenschap kan bijvoorbeeld te maken hebben met de natuur, de ruimte, mensen, taal en het klimaat.

 

Lees de zin en kies het antwoord dat het beste bij jou past. - Ik praat regelmatig over wetenschap met anderen in mijn studie, baan of vrije tijd.","We willen graag weten wat jij van wetenschap en onderzoek weet en hoe je er over denkt. We hebben het dan over wetenschap in de brede zin. Vragen stellen, nieuwsgierig zijn, oplossingen zoeken, experimenteren en nieuwe dingen ontdekken horen bij onderzoek doen. Wetenschap kan bijvoorbeeld te maken hebben met de natuur, de ruimte, mensen, taal en het klimaat.

 

Lees de zin en kies het antwoord dat het beste bij jou past. - Ik vind over het algemeen dat wetenschappers betrouwbaar zijn.","We willen graag weten wat jij van wetenschap en onderzoek weet en hoe je er over denkt. We hebben het dan over wetenschap in de brede zin. Vragen stellen, nieuwsgierig zijn, oplossingen zoeken, experimenteren en nieuwe dingen ontdekken horen bij onderzoek doen. Wetenschap kan bijvoorbeeld te maken hebben met de natuur, de ruimte, mensen, taal en het klimaat.

 

Lees de zin en kies het antwoord dat het beste bij jou past. - Ik vind het belangrijk dat wetenschappers een deel van hun tijd besteden aan communicatie over hun onderzoek.",Hoe heb je de tekst ervaren? - Zakelijk:Persoonlijk,Hoe heb je de tekst ervaren? - Formeel:Informeel,"We zijn benieuwd hoe het lezen van de tekst jou heeft beïnvloed. Beantwoord de volgende vragen door de cirkel te kiezen die het beste bij jouw gevoel past.

 

Hoe voel je je na het lezen van de tekst? - Gelukkig:Ongelukkig","We zijn benieuwd hoe het lezen van de tekst jou heeft beïnvloed. Beantwoord de volgende vragen door de cirkel te kiezen die het beste bij jouw gevoel past.

 

Hoe voel je je na het lezen van de tekst? - Verveeld:Ontspannen","We zijn benieuwd hoe het lezen van de tekst jou heeft beïnvloed. Beantwoord de volgende vragen door de cirkel te kiezen die het beste bij jouw gevoel past.

 

Hoe voel je je na het lezen van de tekst? - Hopeloos:Hoopvol","We zijn benieuwd hoe het lezen van de tekst jou heeft beïnvloed. Beantwoord de volgende vragen door de cirkel te kiezen die het beste bij jouw gevoel past.

 

Hoe voel je je na het lezen van de tekst? - Tevreden:Ontevreden","We zijn benieuwd hoe het lezen van de tekst jou heeft beïnvloed. Beantwoord de volgende vragen door de cirkel te kiezen die het beste bij jouw gevoel past.

 

Hoe voel je je na het lezen van de tekst? - Saai:Spannend","We zijn benieuwd hoe het lezen van de tekst jou heeft beïnvloed. Beantwoord de volgende vragen door de cirkel te kiezen die het beste bij jouw gevoel past.

 

Hoe voel je je na het lezen van de tekst? - Vol energie:Heel duf","We zijn benieuwd hoe het lezen van de tekst jou heeft beïnvloed. Beantwoord de volgende vragen door de cirkel te kiezen die het beste bij jouw gevoel past.

 

Hoe voel je je na het lezen van de tekst? - Kalm:Opgewonden","We zijn benieuwd hoe het lezen van de tekst jou heeft beïnvloed. Beantwoord de volgende vragen door de cirkel te kiezen die het beste bij jouw gevoel past.

 

Hoe voel je je na het lezen van de tekst? - Interessant:Niet interessant",Lees de zin en kies het antwoord dat het beste bij jou past. - Door  de tekst te lezen heb ik iets nieuws geleerd over de impact van reizen op het klimaat.,Lees de zin en kies het antwoord dat het beste bij jou past. - Na het lezen van de tekst wil ik meer weten over de impact van reizen op het klimaat,Lees de zin en kies het antwoord dat het beste bij jou past. - Door het lezen van de tekst is mijn mening over vliegen en/of treinreizen veranderd.,Lees de zin en kies het antwoord dat het beste bij jou past. - In de toekomst wil ik vaker zulke teksten lezen - Ook als ze over andere wetenschappelijke onderwerpen gaan.,Vink bij elke stelling aan wat je van de schrijver van het artikel vond. - Was helemaal niet competent:Helemaal wel competent,Vink bij elke stelling aan wat je van de schrijver van het artikel vond. - Was helemaal geen expert:Helemaal wel expert,Vink bij elke stelling aan wat je van de schrijver van het artikel vond. - Was helemaal niet intelligent:Helemaal wel intelligent,Vink bij elke stelling aan wat je van de schrijver van het artikel vond. - Was helemaal niet betrouwbaar:Helemaal wel betrouwbaar,Vink bij elke stelling aan wat je van de schrijver van het artikel vond. - Was helemaal niet eerlijk:Helemaal wel eerlijk,Vink bij elke stelling aan wat je van de schrijver van het artikel vond. - Geeft veel om de maatschappij:Geeft totaal niet om de maatschappij,Vink bij elke stelling aan wat je van de schrijver van het artikel vond. - Maakt zich zorgen om de maatschappij:Maakt zich totaal geen zorgen om de maatschappij,Vink bij elke stelling aan wat je van de schrijver van het artikel vond. - Was helemaal niet gevoelig:Helemaal wel gevoelig,Lees de zin en kies wat jij het beste vindt passen - Het doel van de tekst is om mensen te overtuigen om in actie te komen tegen klimaatverandering,Lees de zin en kies wat jij het beste vindt passen - Het doel van de tekst is om onpartijdige informatie te geven over het reizen met het vliegtuig en de trein,Lees de zin en kies wat jij het beste vindt passen - De inhoud van de tekst is door de schrijver gevormd op basis van wetenschappelijke kennis over de impact van reizen met het vliegtuig en de trein op het milieu,Lees de zin en kies wat jij het beste vindt passen - De inhoud van de tekst is gevormd door de persoonlijke mening van de schrijver over de impact van reizen met het vliegtuig en de trein op het milieu,Random
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_10_TEXT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID11""}","{""ImportId"":""QID21""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""Random""}"
2023-06-20 02:23:02,2023-06-20 02:30:28,IP Address,,100,446,True,2023-06-20 02:30:29,R_3NQYaUwXuird9su,,,,,,,anonymous,EN,Ja,2004,Man,Basisschool,,Heel waarschijnlijk,Neutraal,3 keer of meer,2 keer,Neutraal,Mee eens,Helemaal mee eens,Eens,Neutraal,Neutraal,Eens,Eens,Neutraal,5,5,6,4,5,5,4,4,7,7,Eens,Neutraal,Neutraal,Eens,4,5,5,4,3,5,2,2,Een beetje eens,Een beetje eens,Neutraal,Neutraal,1
2023-06-21 06:43:47,2023-06-21 06:45:47,IP Address,,100,120,True,2023-06-21 06:45:48,R_1LSUkvIAiqpioHg,,,,,,,anonymous,EN,Ja,2002,Man,havo,,Heel waarschijnlijk,Heel waarschijnlijk,2 keer,1 keer,Helemaal mee eens,Helemaal mee eens,Mee eens,Eens,Helemaal eens,Niet eens,Neutraal,Neutraal,Eens,4,5,7,3,7,4,5,5,3,7,Eens,Niet eens,Helemaal eens,Helemaal niet eens,6,5,5,1,6,6,7,7,Een beetje eens,Een beetje eens,Helemaal mee eens,Niet mee eens,2
2023-06-21 06:43:40,2023-06-21 06:50:41,IP Address,,100,420,True,2023-06-21 06:50:41,R_2du2lRo1QwkaqcV,,,,,,,anonymous,EN,Ja,7,Man,vwo,,Waarschijnlijk,Onwaarschijnlijk,1 keer,1 keer,Mee eens,Niet mee eens,Mee eens,Eens,Niet eens,Eens,Neutraal,Eens,Eens,6,7,7,3,5,5,4,8,4,8,Niet eens,Niet eens,Niet eens,Niet eens,5,3,5,6,5,2,3,5,Een beetje eens,Niet mee eens,Een beetje eens,Niet mee eens,3
2023-06-21 10:31:28,2023-06-21 10:32:34,IP Address,,100,66,True,2023-06-21 10:32:35,R_1CJXyqrnNN2uuCX,,,,,,,anonymous,EN,Nee,2003,Man,havo,,Heel waarschijnlijk,Neutraal,3 keer of meer,3 keer of meer,Mee eens,Mee eens,Mee eens,Eens,Eens,Eens,Niet eens,Eens,Eens,3,7,6,6,6,6,6,6,6,6,Neutraal,Neutraal,Neutraal,Neutraal,5,4,4,5,3,3,3,5,Een beetje oneens,Neutraal,Neutraal,Neutraal,1
2023-06-21 10:30:47,2023-06-21 10:35:24,IP Address,,100,276,True,2023-06-21 10:35:25,R_2Y3vrQNRrGbnJyy,,,,,,,anonymous,EN,Ja,2002,Man,vwo,,Waarschijnlijk,Neutraal,3 keer of meer,2 keer,Mee eens,Neutraal,Mee eens,Niet eens,Eens,Niet eens,Niet eens,Eens,Eens,4,3,5,8,6,4,5,6,4,4,Eens,Eens,Eens,Niet eens,3,5,5,5,4,3,2,5,Mee eens,Mee eens,Een beetje eens,Neutraal,3
2023-06-22 03:26:20,2023-06-22 03:33:35,IP Address,,100,434,True,2023-06-22 03:33:36,R_6xu7QfTdhblmPrH,,,,,,,anonymous,EN,Ja,2003,Man,havo,,Heel waarschijnlijk,Neutraal,1 keer,1 keer,Niet mee eens,Mee eens,Niet mee eens,Eens,Eens,Eens,Eens,Eens,Eens,4,4,5,4,7,4,5,6,4,8,Niet eens,Neutraal,Eens,Neutraal,6,2,3,3,4,5,3,5,Een beetje oneens,Neutraal,Een beetje eens,Een beetje oneens,2
2023-06-15 06:39:49,2023-06-15 06:41:30,IP Address,,53,101,False,2023-06-22 06:41:31,R_2SIyWNeuk3Kdqd1,,,,,,,anonymous,EN,Ja,2003,Vrouw,mavo,,Heel waarschijnlijk,Neutraal,1 keer,2 keer,Helemaal mee eens,Mee eens,Mee eens,Helemaal eens,Eens,Helemaal eens,Eens,Eens,Eens,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2023-06-22 15:20:04,2023-06-22 15:26:16,IP Address,,100,372,True,2023-06-22 15:26:17,R_AHRrzdOmbXKIT3b,,,,,,,anonymous,EN,Ja,7,Man,vwo,,Waarschijnlijk,Neutraal,3 keer of meer,0 keer,Neutraal,Mee eens,Helemaal mee eens,Niet eens,Eens,Helemaal eens,Niet eens,Helemaal eens,Eens,2,2,3,9,8,2,8,3,8,2,Helemaal eens,Eens,Eens,Helemaal eens,5,6,6,6,6,2,2,4,Niet mee eens,Mee eens,Mee eens,Helemaal niet mee eens,1
